aSMA_Cd110
CD3_Sm152
CD4_Gd156
CD8_Dy162
CD11b_Sm149
CD11c_Sm154
CD14_Nd144
CD15_Y89
CD16_Nd146
CD20_Nd142
CD39_Yb176
CD45_Dy163
CD45RA_Dy164
CD45RO_Nd150
CD68_Tb159
CD73_Er166
CD103_Yb173
CD107a_Pr141
CD163_Sm147
CD208_Gd160
Col1_Tm169
DNA1_Ir191
DNA2_Ir193
FoxP3_Gd155
GrB_Er167
HLA-DR_Yb174
Ki67_Er168
Lag3_Eu153
PanCK_Nd148
PD1_Ho165
PDL1_Lu175
Tim3_Yb171
Vim_Nd143
